station,valid, drct ,  sknt
ABI,2013-01-01 00:52,270.00,3.00
ABI,2013-01-01 01:52,230.00,3.00
ABI,2013-01-01 02:52,260.00,3.00
ABI,2013-01-01 03:52,nan,nan
ABI,2013-01-01 04:45,30.00,8.00
ABI,2013-01-01 04:52,30.00,7.00
ABI,2013-01-01 05:18,40.00,7.00
ABI,2013-01-01 05:52,20.00,6.00
ABI,2013-01-01 06:26,10.00,8.00
ABI,2013-01-01 06:52,10.00,7.00
ABI,2013-01-01 07:05,360.00,10.00
ABI,2013-01-01 07:52,360.00,10.00
ABI,2013-01-01 08:52,350.00,8.00
ABI,2013-01-01 09:52,360.00,10.00
ABI,2013-01-01 10:47,350.00,15.00
ABI,2013-01-01 10:52,360.00,12.00
ABI,2013-01-01 11:52,340.00,10.00
ABI,2013-01-01 12:52,360.00,10.00
ABI,2013-01-01 13:52,340.00,11.00
ABI,2013-01-01 14:52,340.00,11.00
ABI,2013-01-01 15:52,350.00,10.00
ABI,2013-01-01 16:52,340.00,10.00
ABI,2013-01-01 17:52,340.00,12.00
ABI,2013-01-01 18:52,310.00,13.00
ABI,2013-01-01 19:52,330.00,12.00
ABI,2013-01-01 20:52,330.00,11.00
ABI,2013-01-01 21:52,340.00,8.00
ABI,2013-01-01 22:52,20.00,7.00
ABI,2013-01-01 23:52,10.00,5.00
ABI,2013-01-02 00:52,10.00,6.00
ABI,2013-01-02 01:52,20.00,5.00
ABI,2013-01-02 02:52,20.00,5.00
ABI,2013-01-02 03:52,40.00,4.00
ABI,2013-01-02 04:52,90.00,3.00
ABI,2013-01-02 05:52,0.00,0.00
ABI,2013-01-02 06:52,0.00,0.00
ABI,2013-01-02 07:52,0.00,0.00
ABI,2013-01-02 08:52,340.00,3.00
ABI,2013-01-02 09:52,160.00,4.00
ABI,2013-01-02 10:52,0.00,0.00
ABI,2013-01-02 11:52,0.00,0.00
ABI,2013-01-02 12:52,320.00,3.00
ABI,2013-01-02 13:52,0.00,0.00
ABI,2013-01-02 14:52,320.00,4.00
ABI,2013-01-02 15:52,330.00,3.00
