PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,month_id,daysmonth,monthyear,cap,CF,C_SH1,C_SH2,C_PR,Gen_SH1,Gen_SH2,Gen_PR,season,seasonyear,CF_SH1,CF_SH2,CF_PR,align_raw,align_spd,align_spd3,CF_SH1_hat,CF_SH1_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56488,2009,June,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,22633,205694,6,30,18,100.8000030517578,.3118523955345154,100.8000030517578,148.5,0,22633,35516.422,,3,7,.3118524,.33217752,,.50972825,.53365797,.57875979,.28898883,.28898883,.92668468,.92668468,-.022863567,-.022863567
56488,2009,July,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,19629,205694,7,31,19,100.8000030517578,.2617367506027222,100.8000030517578,148.5,0,19629,31116.245,,3,7,.26173675,.28163576,,.45845699,.45721576,.47339869,.20808046,.20808046,.794999,.794999,-.053656295,-.053656295
56488,2009,August,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,28237,205694,8,31,20,100.8000030517578,.3765174150466919,100.8000030517578,148.5,0,28237,41212.369,,3,7,.37651742,.37301663,,.52009284,.54786396,.60019034,.31492651,.31492651,.83641946,.83641946,-.06159091,-.06159091
56488,2009,September,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,13005,205694,9,30,21,100.8000030517578,.1791914701461792,100.8000030517578,148.5,0,13005,29316.377,,4,8,.17919147,.27418983,,.40001768,.41763708,.45921171,.23017338,.23017338,1.2845109,1.2845109,.050981909,.050981909
56488,2009,October,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,34490,205694,10,31,22,100.8000030517578,.4598960876464844,100.8000030517578,148.5,0,34490,56093.601,,4,8,.45989609,.50770789,,.49831873,.51986605,.56249923,.42431816,.42431816,.92263919,.92263919,-.035577923,-.035577923
56488,2009,November,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,30097,205694,11,30,23,100.8000030517578,.4146963059902191,100.8000030517578,148.5,0,30097,51067.462,,4,8,.41469631,.47762311,,.53837937,.53749633,.54011077,.42057589,.42057589,1.014178,1.014178,.005879581,.005879581
56488,2009,December,Smoky Hills Windfarm,Smoky Hills Wind Farm LLC,55886,KS,WNC ,SPP,WT,WND,33057,205694,12,31,24,100.8000030517578,.440788209438324,100.8000030517578,148.5,0,33057,57675.597,,1,8,.44078821,.52202672,,.54482657,.54797125,.55411381,.44078821,.44078821,1,1,0,0
56488,2010,January,Smoky Hills Wind Project Phase I,Smoky Hills Wind Farm I LLC,55886,KS,WNC ,SPP,WT,WND,22532,372332,1,31,25,100.8000030517578,.3004458844661713,100.8000030517578,148.5,0,22532,30242,,1,9,.30044588,.27372289,,.45710841,.4862051,.5231756,.29826882,.29826882,.99275392,.99275392,-.0021770597,-.0021770597
56488,2010,February,Smoky Hills Wind Project Phase I,Smoky Hills Wind Farm I LLC,55886,KS,WNC ,SPP,WT,WND,19159,372332,2,28,26,100.8000030517578,.2828414142131805,100.8000030517578,148.5,0,19159,27772,,1,9,.28284141,.27829885,,.46867892,.45907751,.47082433,.30336651,.30336651,1.0725675,1.0725675,.020525098,.020525098
56488,2010,March,Smoky Hills Wind Project Phase I,Smoky Hills Wind Farm I LLC,55886,KS,WNC ,SPP,WT,WND,38136,372332,3,31,27,100.8000030517578,.508512556552887,100.8000030517578,148.5,0,38136,56722,,2,10,.50851256,.51339561,,.4721497,.47058824,.46317327,.50402194,.50402194,.9911691,.9911691,-.0044906139,-.0044906139
